Level,Date and Time,Source,Event ID,Task Category
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Windows Desktop Runtime - 3.1.17 (x64). Product Version: 24.68.30215. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,"Windows Installer reconfigured the product. Product Name: Cloudflare WARP. Product Version: 22.12.582.0. Product Language: 1033. Manufacturer: Cloudflare, Inc.. Reconfiguration success or error status: 0."
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319. Product Version: 10.0.30319. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,"Windows Installer reconfigured the product. Product Name: Dell Update for Windows 10. Product Version: 3.1.2. Product Language: 1033. Manufacturer: Dell, Inc.. Reconfiguration success or error status: 0."
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft ODBC Driver 17 for SQL Server. Product Version: 17.10.6.1. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Executables (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1033,None,Windows Installer installed the product. Product Name: SQL Server 2022 Database Engine Services. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Installation success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030. Product Version: 11.0.61030. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Common Files. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Dynamic Application Loader Host Interface Service. Product Version: 1.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030. Product Version: 11.0.61030. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
